0.139	6.043	0.365	-1.053
0.110	8.538	0.379	3.316
-0.591	4.194	0.579	10.459
-1.363	-1.149	0.390	6.893
-1.634	-3.015	-0.205	-0.839
-1.212	-4.934	-0.455	0.578
-0.943	-9.891	-0.187	6.874
-0.697	-10.776	-0.033	4.677
0.321	-6.550	-0.203	-3.138
1.365	-4.451	-0.270	-2.428
1.335	-6.092	0.309	6.126
0.910	-2.642	0.698	7.351
0.614	6.939	0.440	-0.069
0.638	11.981	0.326	-1.971
0.087	7.490	0.479	5.345
-0.900	0.977	0.536	7.521
-1.299	0.781	0.079	0.589
-0.876	0.417	-0.569	-2.681
-0.513	-4.605	-0.542	2.977
-0.676	-11.832	-0.274	6.165
-0.540	-12.258	-0.206	-1.431
0.708	-6.718	-0.295	-6.797
1.455	-5.492	0.147	-1.920
1.436	-5.706	0.943	3.923
0.912	-2.964	0.907	-0.767
0.647	5.285	0.348	-6.695
0.477	7.326	0.247	-2.712
-0.383	4.553	0.461	4.218
-1.237	2.982	0.336	0.540
-1.530	2.797	-0.251	-7.097
-0.827	-1.623	-0.501	-5.656
-0.381	-11.529	-0.303	0.623
-0.186	-12.008	-0.227	-2.113
0.609	-6.156	-0.426	-10.649
1.623	-3.508	-0.458	-11.041
1.827	-5.739	0.298	-3.921
1.008	-5.668	0.782	-3.715
0.763	2.192	0.608	-11.169
1.217	6.746	0.576	-12.894
0.929	2.620	0.812	-5.437
0.119	-5.100	0.717	-3.044
-0.688	-6.365	-0.283	-10.712
-0.233	-5.656	-0.967	-15.450
0.148	-10.029	-0.679	-11.290
0.108	-16.970	-0.135	-8.442
0.325	-19.467	-0.309	-15.329
1.523	-14.677	-0.604	-19.923
2.198	-11.959	-0.302	-14.803
2.111	-10.408	0.440	-8.956
1.568	-5.222	0.534	-13.538
1.337	2.375	0.047	-20.122
1.206	3.315	-0.070	-17.785
0.348	-0.408	0.086	-10.386
-0.324	-0.433	-0.331	-13.108
-0.511	-0.303	-0.966	-20.998
0.054	-4.525	-1.088	-20.216
0.301	-13.778	-0.804	-13.783
0.662	-16.748	-0.625	-15.069
1.505	-11.798	-0.721	-22.822
2.396	-7.792	-0.503	-23.378
2.759	-11.361	0.233	-16.392
2.072	-13.432	0.661	-15.755
1.527	-5.544	0.208	-22.929
1.654	2.129	-0.113	-24.614
1.037	0.079	0.192	-16.773
0.298	-5.319	0.308	-13.704
-0.032	-7.806	-0.318	-20.826
0.325	-8.308	-0.928	-25.421
0.781	-13.241	-0.909	-21.410
0.703	-17.550	-0.521	-18.358
0.886	-16.223	-0.678	-24.362
1.878	-12.092	-0.928	-29.174
2.477	-9.993	-0.584	-24.051
2.405	-8.968	0.206	-17.428
1.951	-3.491	0.301	-21.316
1.983	4.412	-0.143	-26.806
1.840	4.363	-0.379	-22.138
1.021	0.008	-0.108	-14.092
0.689	0.473	-0.182	-16.992
0.637	2.148	-0.706	-24.641
0.752	-3.438	-0.867	-23.935
0.465	-14.740	-0.579	-17.435
0.112	-19.419	-0.290	-18.923
0.673	-15.284	-0.521	-26.483
1.893	-10.610	-0.715	-26.545
2.457	-11.765	-0.214	-19.561
2.470	-13.646	0.255	-18.551
2.531	-8.264	0.304	-25.620
2.635	-2.240	0.083	-26.769
2.008	-3.060	0.168	-18.558
1.020	-6.753	0.112	-15.393
0.391	-7.645	-0.563	-22.202
0.252	-7.489	-1.137	-26.341
0.114	-11.693	-1.199	-20.728
-0.131	-16.678	-0.968	-16.911
0.085	-15.669	-1.113	-23.490
1.612	-11.992	-1.323	-28.819
2.567	-11.618	-0.846	-24.272
2.466	-12.256	0.014	-17.966
2.154	-5.938	0.238	-21.260
2.118	3.367	0.104	-26.765
2.151	3.777	0.315	-22.917
1.446	-2.317	0.578	-15.381
0.450	-5.485	0.175	-17.733
0.227	-5.583	-0.572	-25.146
0.636	-9.028	-0.789	-24.145
0.675	-17.930	-0.725	-17.813
0.726	-24.916	-0.949	-18.983
1.181	-20.982	-1.523	-26.727
1.792	-12.500	-1.443	-26.667
1.884	-6.049	-0.479	-17.729
1.445	1.863	0.269	-12.586
1.236	14.203	0.407	-14.633
1.428	22.807	0.313	-14.960
1.405	20.060	0.436	-9.858
1.004	9.241	0.394	-7.963
0.451	-0.138	-0.183	-16.273
0.463	-6.506	-0.905	-23.447
0.413	-14.906	-1.162	-22.159
0.007	-20.327	-0.898	-21.337
0.340	-16.824	-1.163	-29.295
1.821	-12.886	-1.451	-34.669
2.861	-14.115	-1.014	-28.935
2.400	-17.779	-0.245	-20.819
1.401	-13.385	-0.217	-23.195
1.599	-1.199	-0.643	-28.183
1.793	2.529	-0.614	-23.520
1.252	-1.633	-0.088	-14.643
0.241	-3.331	-0.201	-16.280
-0.299	-0.765	-0.913	-23.650
