0.000	-1.036
0.000	32.325
0.000	-12.745
0.000	20.278
0.000	-22.538
0.000	12.693
0.000	-30.487
0.000	3.667
0.000	-39.061
0.000	-1.930
0.000	-40.556
0.000	-0.095
0.000	-36.570
0.000	3.927
0.000	-36.228
0.000	-1.064
0.000	-43.899
0.000	-8.093
0.000	-46.924
0.000	-7.215
0.000	-45.047
0.000	-6.233
0.000	-45.548
0.000	-5.833
0.000	-43.247
0.000	-3.561
0.000	-40.928
0.000	-0.724
0.000	-39.921
0.000	-2.388
0.000	-41.864
0.000	-1.456
0.000	-37.466
0.000	4.118
0.000	-32.003
0.000	8.557
0.000	-29.358
0.000	10.409
0.000	-26.101
0.000	15.290
0.000	-19.393
0.000	23.647
0.000	-11.637
0.000	29.634
0.000	-8.474
0.000	30.659
0.000	-7.622
0.000	31.019
0.000	-7.875
0.000	30.920
0.000	-9.998
0.000	25.627
0.000	-15.715
0.000	22.185
0.000	-15.252
0.000	26.741
0.000	-10.115
0.000	28.542
0.000	-12.301
0.000	23.506
0.000	-19.543
0.000	15.836
0.000	-25.612
0.000	11.009
0.000	-31.201
0.000	3.095
0.000	-39.599
0.000	-3.515
0.000	-42.649
0.000	-2.632
0.000	-41.406
0.000	-2.646
0.000	-41.389
0.000	-1.289
0.000	-37.741
0.000	4.636
0.000	-29.782
0.000	14.557
0.000	-19.132
0.000	22.673
0.000	-16.503
0.000	21.310
0.000	-17.264
0.000	21.118
0.000	-20.318
0.000	13.772
0.000	-30.328
0.000	5.013
0.000	-34.708
0.000	6.295
0.000	-26.793
0.000	21.319
0.000	-8.497
0.000	37.749
0.000	6.017
0.000	52.112
0.000	20.336
0.000	64.133
0.000	29.115
0.000	69.947
0.000	29.638
0.000	64.802
0.000	21.312
0.000	55.828
0.000	13.399
0.000	47.248
0.000	1.263
0.000	32.416
0.000	-12.974
0.000	22.014
0.000	-18.680
0.000	19.283
0.000	-19.902
0.000	16.927
0.000	-24.969
0.000	11.160
0.000	-28.705
0.000	9.610
0.000	-29.636
0.000	7.375
0.000	-35.086
0.000	-1.620
0.000	-46.873
0.000	-14.048
0.000	-57.092
0.000	-19.984
0.000	-57.036
0.000	-13.091
0.000	-44.718
0.000	2.623
0.000	-27.107
0.000	22.012
0.000	-5.311
0.000	42.454
0.000	8.165
0.000	47.606
0.000	5.822
0.000	39.794
0.000	-3.890
0.000	31.103
0.000	-9.268
0.000	28.804
0.000	-11.720
0.000	25.697
0.000	-13.193
0.000	26.473
0.000	-9.376
0.000	33.616
0.000	-0.222
0.000	42.835
0.000	5.559
0.000	44.559
0.000	6.891
0.000	47.954
0.000	11.636
0.000	52.974
0.000	14.370
0.000	51.031
0.000	8.419
0.000	42.223
0.000	-0.152
0.000	37.072
0.000	-2.057
0.000	36.625
0.000	-3.872
0.000	30.938
0.000	-13.041
0.000	20.790
